disease,diet
Fungal infection,"['Eat probiotic foods', 'Avoid excess sugar', 'Maintain hydration']"
Allergy,"['Avoid allergen foods', 'Eat vitamin C rich fruits']"
GERD,"['Avoid spicy food', 'Eat small meals', 'Avoid late-night meals']"
Chronic cholestasis,"['Low-fat diet', 'High-fiber foods', 'Drink plenty of water']"
Drug Reaction,"['Soft diet', 'Drink more water']"
Peptic ulcer disease,"['Avoid spicy food', 'Eat bland diet', 'Avoid caffeine']"
AIDS,"['High protein diet', 'Eat fresh fruits', 'Stay hydrated']"
Diabetes ,"['Low sugar diet', 'Whole grains', 'High fiber vegetables']"
Gastroenteritis,"['ORS', 'Banana', 'Rice', 'Toast']"
Bronchial Asthma,"['Warm fluids', 'Avoid cold foods']"
Hypertension ,"['Low salt diet', 'Fruits and vegetables', 'Avoid processed food']"
Migraine,"['Avoid caffeine excess', 'Stay hydrated', 'Do not skip meals']"
Acne,"['Drink plenty of water', 'Avoid oily and junk food', 'Eat fresh fruits and vegetables']"
Alcoholic hepatitis,"['Strictly avoid alcohol', 'Eat a balanced, nutritious diet', 'Consult a doctor for a liver-friendly diet']"
Arthritis,"['Eat anti-inflammatory foods like fish, nuts, and green tea', 'Avoid processed sugar and red meat']"
Cervical spondylosis,"['Include calcium-rich foods like milk and yogurt', 'Eat foods rich in Vitamin D like eggs and fish', 'Avoid junk food']"
Chicken pox,"['Eat soft, bland foods like soup and mashed potatoes', 'Avoid spicy and acidic foods', 'Stay hydrated']"
Common Cold,"['Drink warm fluids like soup and ginger tea', 'Eat vitamin C rich fruits like oranges', 'Stay hydrated']"
Dengue,"['Drink papaya leaf juice to increase platelets', 'Stay well-hydrated with water and coconut water', 'Eat fruits like kiwi and pomegranate']"
Dimorphic hemmorhoids(piles),"['Eat a high-fiber diet with whole grains and vegetables', 'Drink plenty of water to soften stool', 'Avoid spicy foods']"
Heart attack,"['Follow a low-salt, low-fat diet (DASH diet)', 'Eat whole grains, fruits, and vegetables', 'Strictly avoid processed and fried foods']"
Hepatitis B,"['Eat a balanced diet with adequate protein', 'Avoid alcohol completely', 'Limit fatty and processed foods']"
Hepatitis C,"['Avoid alcohol', 'Eat a low-fat, high-fiber diet', 'Stay hydrated']"
Hepatitis D,"['Follow a liver-friendly diet as advised by a doctor', 'Avoid alcohol']"
Hepatitis E,"['Eat a balanced diet and rest', 'Avoid alcohol', 'Ensure food and water are clean']"
hepatitis A,"['Eat a light, easily digestible diet', 'Avoid fatty and oily foods', 'Stay hydrated with ORS and juices']"
Hyperthyroidism,"['Eat a low-iodine diet', 'Include cruciferous vegetables like cabbage and broccoli', 'Avoid excessive caffeine']"
Hypoglycemia,"['Eat small, frequent meals', 'Include complex carbohydrates and protein', 'Always carry a quick-sugar source like candy or juice']"
Hypothyroidism,"['Eat iodine-rich foods like seaweed and fish', 'Include zinc and selenium-rich foods like nuts', 'Avoid processed foods']"
Impetigo,"['Eat a balanced diet to boost immunity', 'Stay hydrated']"
Jaundice,"['Eat easily digestible foods like porridge and boiled vegetables', 'Drink sugarcane juice and coconut water', 'Avoid fatty and oily food']"
Malaria,"['Eat a high-calorie, high-protein diet to regain strength', 'Stay well-hydrated', 'Include fruits rich in Vitamin C']"
Osteoarthristis,"['Eat foods rich in calcium and Vitamin D', 'Include anti-inflammatory foods like turmeric and ginger', 'Maintain a healthy weight']"
Paralysis (brain hemorrhage),"['Eat a soft or liquid diet if swallowing is difficult', 'Ensure adequate nutrition as per doctor’s advice']"
Pneumonia,"['Drink plenty of warm fluids like soup', 'Eat a protein-rich diet to help recovery', 'Include fruits and vegetables']"
Psoriasis,"['Eat anti-inflammatory foods like fatty fish (salmon) and nuts', 'Avoid red meat and alcohol']"
Tuberculosis,"['Eat a high-protein, high-calorie, nutrient-rich diet', 'Include milk, eggs, and lentils', 'Stay hydrated']"
Typhoid,"['Eat a high-calorie, soft, and easily digestible diet', 'Drink boiled water and ORS', 'Avoid raw vegetables and spicy food']"
Urinary tract infection,"['Drink plenty of water to flush out bacteria', 'Include cranberry juice', 'Avoid caffeine and spicy foods']"
Varicose veins,"['Eat a high-fiber diet to prevent constipation', 'Include foods rich in flavonoids like berries and citrus fruits']"
(vertigo) Paroymsal Positional Vertigo,"['Stay hydrated', 'Avoid high-sugar and high-salt foods', 'Limit caffeine and alcohol']"
...