disease,workout
Fungal infection,"Light walking"
Allergy,"Breathing exercises"
GERD,"Light walking after meals"
Chronic cholestasis,"Mild stretching"
Drug Reaction,"Rest and light movement"
Peptic ulcer disease,"Yoga and walking"
AIDS,"Light exercise with supervision"
Diabetes ,"Brisk walking 30 min"
Gastroenteritis,"Rest"
Bronchial Asthma,"Breathing exercises and light yoga"
Hypertension ,"Walking and meditation"
Migraine,"Yoga and relaxation exercises"
Acne,"Regular moderate exercise like jogging or swimming to improve circulation"
Alcoholic hepatitis,"Complete rest and avoid physical strain. Gentle stretching once recovered, under doctor's guidance."
Arthritis,"Low-impact activities like swimming, cycling, or tai chi to improve joint flexibility"
Cervical spondylosis,"Neck stretching exercises and daily walks to maintain posture"
Chicken pox,"Complete rest. Avoid scratching and any activity that causes sweating."
Common Cold,"Light walking and rest. Avoid strenuous exercise."
Dengue,"Complete bed rest is crucial. Avoid any exercise until platelet count is normal."
Dimorphic hemmorhoids(piles),"Light walking and pelvic floor exercises (Kegels)"
Heart attack,"Cardiac rehabilitation exercises as prescribed by a cardiologist. Do not self-prescribe exercise."
Hepatitis B,"Light to moderate exercise like walking. Avoid high-intensity workouts."
Hepatitis C,"Gentle yoga and walking. Listen to your body and rest when needed."
Hepatitis D,"Rest is key. Light stretching may be done after recovery phase."
Hepatitis E,"Complete rest until symptoms subside."
hepatitis A,"Rest is the primary treatment. Avoid physical exertion."
Hyperthyroidism,"Light exercises like walking and yoga. Avoid high-intensity cardio."
Hypoglycemia,"Regular, moderate exercise. Always carry a sugar source."
Hypothyroidism,"Regular aerobic exercise like brisk walking or cycling for 30-45 minutes daily"
Impetigo,"Avoid exercise until the sores have healed to prevent spreading."
Jaundice,"Complete rest until liver function returns to normal."
Malaria,"Rest during fever. Light walking can be resumed after recovery."
Osteoarthristis,"Low-impact exercises like swimming, water aerobics, and cycling to reduce joint stress"
Paralysis (brain hemorrhage),"Physiotherapy and doctor-prescribed exercises are mandatory."
Pneumonia,"Complete rest. Deep breathing exercises can help but avoid physical strain."
Psoriasis,"Stress-reducing activities like yoga, meditation, and swimming"
Tuberculosis,"Light walking and breathing exercises. Avoid over-exertion."
Typhoid,"Complete bed rest until fever subsides completely."
Urinary tract infection,"Light walking is okay. Avoid exercises that put pressure on the bladder like cycling."
Varicose veins,"Regular walking, cycling, and leg elevation exercises"
(vertigo) Paroymsal Positional Vertigo,"Balance exercises and specific head maneuvers (like Epley maneuver) as advised by a doctor"
...